num_pipeline__RowNumber,num_pipeline__CustomerId,num_pipeline__CreditScore,num_pipeline__Gender,num_pipeline__Age,num_pipeline__Balance,num_pipeline__EstimatedSalary,cat_pipeline__Geography_France,cat_pipeline__Geography_Germany,cat_pipeline__Geography_Spain,cat_pipeline__Tenure_0,cat_pipeline__Tenure_1,cat_pipeline__Tenure_2,cat_pipeline__Tenure_3,cat_pipeline__Tenure_4,cat_pipeline__Tenure_5,cat_pipeline__Tenure_6,cat_pipeline__Tenure_7,cat_pipeline__Tenure_8,cat_pipeline__Tenure_9,cat_pipeline__Tenure_10,cat_pipeline__NumOfProducts_1,cat_pipeline__NumOfProducts_2,cat_pipeline__NumOfProducts_3,cat_pipeline__NumOfProducts_4,cat_pipeline__HasCrCard_0,cat_pipeline__HasCrCard_1,cat_pipeline__IsActiveMember_0,cat_pipeline__IsActiveMember_1,Exited
0.4036403640364037,0.29734508318365727,0.402,0.0,0.3243243243243243,0.5562475983774927,0.21713998686874594,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
0.4378437843784379,0.8215801495265751,0.814,1.0,0.7162162162162162,0.35107533102384325,0.7717031476506006,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.6700670067006701,0.46167631375780616,0.874,0.0,0.2837837837837838,0.4341818225878085,0.5058319069471134,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.4900490049004901,0.2769521858961781,0.7699999999999999,0.0,0.3108108108108108,0.7170401337052825,0.6859123546298672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.11051105110511052,0.23437831264575237,0.32799999999999996,1.0,0.37837837837837845,0.4245223628446116,0.27532999401442837,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
0.953995399539954,0.09854833612678959,0.618,0.0,0.14864864864864863,0.49100461466247114,0.28482635091651254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
0.7657765776577657,0.17286760617466967,0.44600000000000006,0.0,0.2972972972972973,0.5889031678160643,0.5522671415120144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.8668866886688669,0.48809347611295095,0.364,1.0,0.25675675675675674,0.0,0.03375452355699969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.5521552155215521,0.5436399201564868,0.93,0.0,0.25675675675675674,0.6620832386567791,0.3360156894983471,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
0.012201220122012201,0.49990999603982544,0.612,1.0,0.2837837837837838,0.0,0.7053588617712991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
0.20262026202620262,0.14955458040153502,0.20199999999999996,1.0,0.0675675675675676,0.0,0.240073577026606,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
